安凯客车,安庆鑫驰汽贸有限公司,安庆,安徽省,安庆市中兴大道166号（火车道向北100米）,"13030227.44,3553514.79"
安凯客车,安庆市青云汽车贸易有限公司,安庆,安徽省,安庆市中兴大道车管所向南200米,"13030229.65,3553617.65"
奥迪,安庆中奥汽车销售服务有限公司,安庆,安徽省,安徽省安庆市大桥综合开发区龙眠山路与纬五路交叉口,"13031999.72,3553867.5"
安凯客车,安徽金涂山汽车贸易有限公司,蚌埠,安徽省,蚌埠市迎宾大道西侧国际汽车城北路中段,"13061262.29,3860934.86"
安凯客车,安徽瑞福达汽车贸易有限公司,蚌埠,安徽省,蚌埠市东海大道中段光彩大市场往东,"13064241.79,3861239.85"
奥迪,蚌埠市奥立汽车销售服务有限公司,蚌埠,安徽省,怀远经济开发区合徐高速西出口往东500米,"13052042.54,3868256.55"
奥迪,蚌埠奥立奥迪,蚌埠,安徽省,蚌埠市怀远经济开发区,"1.3052742566903975E7,3867931.543826644"
安凯客车,涡阳茂盛江淮,亳州,安徽省,城西老子牛向西2公里大步汽车成（新车管所旁边）,"1.2932105684828665E7,3941005.3029202786"
奥迪,滁州远航汽车,滁州,安徽省,滁州市琅琊区丰乐南路281号皖东国际车城B区6幢118号,"1.3170213059700878E7,3775275.929517509"
北汽幻速,池州骏瑞,池州,安徽省,安徽省池州市站前区汽车集聚园N地块,"1.3081677657936499E7,3561107.7808011463"
别克,池州别克,池州,安徽省,池州市站前区青莲路汽车服务业集聚区,"1.3083256362727271E7,3561674.5421013585"
安凯客车,阜阳市开源汽车销售有限公司,阜阳,安徽省,阜阳市开发区汽贸物流园105国道南侧,"12898316.8,3850899.34"
安凯客车,临泉市众城汽车有限公司,阜阳,安徽省,安徽省临泉县城关镇S102道新检察院东400米路南,"12833373.79,3876948.8"
安凯客车,阜阳澳龙车业有限公司,阜阳,安徽省,阜阳市开发区京九丝绸对面世纪花都大门口西侧,"12894030.5,3854729.17"
安凯客车,阜阳浩中汽车销售有限公司,阜阳,安徽省,阜阳市经济技术开发区四季花都大门西50米,"12895311.84,3854187.59"
安凯客车,阜阳市金路达汽车有限责任公司,阜阳,安徽省,阜阳市经济开发区新安大道688号,"12896521.72,3852655.78"
安凯客车,临泉县创鑫汽车修理有限公司,阜阳,安徽省,安徽省临泉县城关镇S102道老收费站东400米路南,"12833373.79,3876948.8"
奥迪,安徽奥祥汽车销售服务有限公司,合肥,安徽省,安徽省合肥市长江西路1078号,"13043494,3721366"
奥迪,合肥恒信德龙奥龙汽车销售服务有限公司,合肥,安徽省,合肥市庐阳区蒙城北路1111号,"13053335,3730216"
奥迪,合肥中升汇迪汽车销售服务有限公司,合肥,安徽省,安徽省合肥市裕溪路高架大兴镇出口向东1000米,"13060890,3711083"
奥迪,安徽安迪汽车有限公司,合肥,安徽省,合肥市包河工业园纬一路20号,"13063247,3714249"
安凯客车,安徽致诚机械制造有限公司,淮南,安徽省,安徽省淮南市凤台县河东工业园区致诚汽车,"13030608.05,3555266.55"
安凯客车,淮南江淮宾悦汽车销售有限公司,淮南,安徽省,淮南市泉山西路师范学院对面,"12896521.72,3852655.78"
北京,淮北京之宝,淮北,安徽省,淮北市相山区汽车城,"13001487,3994812"
北汽绅宝,淮北京之宝,淮北,安徽省,淮北市相山区汽车城,"13001487,3994812"
奔驰,淮北万帮之星,淮北,安徽省,安徽省淮北市烈山区国购汽车文化园3#...,"1.3007149417112133E7,3989588.093626987"
