DealerId,DealerUrl,DealerCode,DealerName,Address1,Telephone,AsTel,Total,Eval,Longitude,Latitude,DealerEvaluateAnsesList
e02df521-b9e2-451d-8857-bc46a52d0b44,/province/heilongjiang/daqing/dealer/dqstgxq,23E10,广汽丰田大庆世腾高新区店,黑龙江省大庆市高新技术产业开发区安萨路32号,0459-6039111,0459-6039111,2003,4.94,125.163992,46.570219,"[{'DealerCode': '23E10', 'AnswerDesc': '技术专业', 'EvaluateTotal': '528'}, {'DealerCode': '23E10', 'AnswerDesc': '值得信任', 'EvaluateTotal': '313'}, {'DealerCode': '23E10', 'AnswerDesc': '细心周到', 'EvaluateTotal': '208'}]"
d47704e7-9c17-4c2a-a7d5-75fbab5d3b19,/province/heilongjiang/haerbin/dealer/hebgljcl,23A10,广汽丰田哈尔滨广龙机场路店,道里区城乡路441号,0451--84341577,0451-88933888,841,4.89,126.564019,45.716589,"[{'DealerCode': '23A10', 'AnswerDesc': '值得信任', 'EvaluateTotal': '74'}, {'DealerCode': '23A10', 'AnswerDesc': '技术专业', 'EvaluateTotal': '54'}, {'DealerCode': '23A10', 'AnswerDesc': '快速保养', 'EvaluateTotal': '24'}]"
8f99e3d3-425b-439e-b81d-d83690af8e53,/province/heilongjiang/haerbin/dealer/hebgljcldsbf,23A11,广汽丰田哈尔滨广龙机场路店松北分店,哈尔滨松北区中原大道8999号,1,,1,5.00,,,"[{'DealerCode': '23A11', 'AnswerDesc': '快速保养', 'EvaluateTotal': '1'}]"
f12ecdb5-4145-4853-b127-64b61d2c3464,/province/heilongjiang/haerbin/dealer/heblsxf,23A20,广汽丰田哈尔滨龙晟先锋店,哈尔滨市道外区先锋路24号,0451-82466666,0451-82466666,1868,4.85,126.744111,45.778662,"[{'DealerCode': '23A20', 'AnswerDesc': '值得信任', 'EvaluateTotal': '397'}, {'DealerCode': '23A20', 'AnswerDesc': '细心周到', 'EvaluateTotal': '263'}, {'DealerCode': '23A20', 'AnswerDesc': '技术专业', 'EvaluateTotal': '126'}]"
cf5dd504-28c2-48ec-9343-4dc66bf8f118,/province/heilongjiang/haerbin/dealer/hebwhxfl,23A30,广汽丰田哈尔滨文华学府路店,哈尔滨市香坊区学府路403号,0451-88889958,0451-88889958,321,4.85,126.63079,45.661131,"[{'DealerCode': '23A30', 'AnswerDesc': '技术专业', 'EvaluateTotal': '79'}, {'DealerCode': '23A30', 'AnswerDesc': '值得信任', 'EvaluateTotal': '35'}, {'DealerCode': '23A30', 'AnswerDesc': '细心周到', 'EvaluateTotal': '21'}]"
a838fa1b-e911-456e-b95c-f59fb302b039,/province/heilongjiang/jiamusi/dealer/jmsxtyyl,23D10,广汽丰田佳木斯旭通友谊路店,黑龙江省佳木斯市友谊路1199号,0454-8512016,0454-8512013,306,4.87,,,"[{'DealerCode': '23D10', 'AnswerDesc': '技术专业', 'EvaluateTotal': '57'}, {'DealerCode': '23D10', 'AnswerDesc': '值得信任', 'EvaluateTotal': '22'}, {'DealerCode': '23D10', 'AnswerDesc': '快速保养', 'EvaluateTotal': '17'}]"
e9959cfa-7984-4ba5-a4dc-6d5c8494ef2f,/province/heilongjiang/mudanjiang/dealer/mdjldxlj,23C10,广汽丰田牡丹江绿地兴隆街店,牡丹江市江南开发区乌苏里路41号,13644532992,0453-8293146,219,4.89,,,"[{'DealerCode': '23C10', 'AnswerDesc': '值得信任', 'EvaluateTotal': '22'}, {'DealerCode': '23C10', 'AnswerDesc': '技术专业', 'EvaluateTotal': '14'}, {'DealerCode': '23C10', 'AnswerDesc': '细心周到', 'EvaluateTotal': '9'}]"
c5bf1b3d-38c6-483c-89d5-edb6c148490a,/province/heilongjiang/qiqihaer/dealer/qqhelsqfl,23B10,广汽丰田齐齐哈尔龙晟齐富路店,齐齐哈尔市龙沙区永安南大街10号,0452-8888200,0452-8888300,292,4.81,123.941111,47.325367,"[{'DealerCode': '23B10', 'AnswerDesc': '值得信任', 'EvaluateTotal': '45'}, {'DealerCode': '23B10', 'AnswerDesc': '技术专业', 'EvaluateTotal': '32'}, {'DealerCode': '23B10', 'AnswerDesc': '细心周到', 'EvaluateTotal': '28'}]"
09676a00-3358-4209-822a-4760d4ccd0d2,/province/heilongjiang/suihua/dealer/shsdkzl,23M10,广汽丰田绥化盛达康庄路店,黑龙江绥化市北林区康庄路温馨家园后身西行200米,,,165,4.79,126.977864,46.61907,"[{'DealerCode': '23M10', 'AnswerDesc': '技术专业', 'EvaluateTotal': '59'}, {'DealerCode': '23M10', 'AnswerDesc': '值得信任', 'EvaluateTotal': '16'}, {'DealerCode': '23M10', 'AnswerDesc': '热情', 'EvaluateTotal': '5'}]"
11b93087-af69-4fbd-9ace-b56f98e21189,/province/heilongjiang/shuangyashan/dealer/syslsfslf,23A21,广汽丰田双鸭山龙晟福双路分店,黑龙江省双鸭山市集贤县福双路256-1号,0469-6151111,0469-4685999,2,1.00,131.147915,46.707347,"[{'DealerCode': '23A21', 'AnswerDesc': '', 'EvaluateTotal': ''}]"
