address,cityId,cityName,dealerCode,dealerName,districtId,districtName,id,lat,lng,macId,macName,provinceId,provinceName,referred,regionalId,regionalName,tel,url,verson
陕西省宝鸡市陈仓区千渭物流园区汽博路（会展中心向南300米别克4s店）,610300,宝鸡市,SJ2735,宝鸡泽泰盛世汽车销售服务有限公司,610304,陈仓区,1037,34.347690,107.358210,148056,聂亚兵,610000,陕西省,宝鸡泽泰盛世,4,四区,18165173296,bjztss,0
陕西省宝鸡市岐山县南大街延伸段天利花物流中心A区,610300,宝鸡市,SJ2783,宝鸡凤鸣扬汽车销售服务咨询有限公司,610323,岐山县,828,34.440568,107.630152,148056,聂亚兵,610000,陕西省,宝鸡凤鸣扬,4,四区,0917-8215596,bjfmy,0
陕西省安康市高新区钻石东路2号,610900,安康市,SJ2780,安康安通汽车销售服务有限公司,610902,汉滨区,576,32.724673,108.998785,148056,聂亚兵,610000,陕西省,安康安通,4,四区,4008906235,akat,0
陕西省铜川市王益区王家河工业园区赵家塬,610200,铜川市,SJ1026,铜川泽泰盛威汽车销售服务有限公司,610202,王益区,883,35.113635,109.064626,148056,聂亚兵,610000,陕西省,铜川泽泰盛威,4,四区,0919-2161111,tcztsw,0
陕西省商洛市商州区杨峪河镇谢塬村,611000,商洛市,SJ2788,商洛泽泰汇通汽车销售服务有限公司,611002,商州区,661,33.865922,109.894268,148056,聂亚兵,610000,陕西省,商洛泽泰汇通,4,四区,4008900329,slztht,0
渭南市华山大街东段沋河桥东800米宏远车城,610500,渭南市,SJ1786,陕西渭南粤海汽车贸易有限公司,610502,临渭区,190,34.49304614,109.5139503,148056,聂亚兵,610000,陕西省,渭南粤海,4,四区,4008900283,wnyh,0
陕西省宝鸡市高新东区高新十二路十八号,610300,宝鸡市,SJ1790,陕西华兴通宝汽车销售服务有限公司,610302,渭滨区,201,34.3457,107.2815,148056,聂亚兵,610000,陕西省,陕西华兴通宝,4,四区,4008906758,sxhxtb,0
陕西省汉中市天汉大道北段十里村（车管所对面）,610700,汉中市,SJ1792,陕西汉中嘉和通宝汽车销售服务有限公司,610702,汉台区,205,33.11417,107.01029,148056,聂亚兵,610000,陕西省,汉中嘉和通宝,4,四区,4008906752,hzjhtb,0
云南省红河州开远市河滨小区,532500,红河哈尼族彝族自治州,SJ1821,红河通威汽车销售服务有限公司,532502,开远市,297,23.71544465,103.2438254,148049,马勇强,530000,云南省,红河通威,8,八区,4008900497,hhtw,0
玉溪市红塔区太极路中段（亚太国际汽车城旁）,530400,玉溪市,SJ1822,玉溪鸿通汽车销售服务有限公司,530402,红塔区,302,24.38005,102.54325,148049,马勇强,530000,云南省,玉溪鸿通,8,八区,4008908912,yxht,0
